,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Gross domestic income,226.3,246.8,274.7,270.7,298.6,343.5,364.7,385.4,387.6,423.3,451.4,474.4,480.6,521.5,543.7,563.1,603.9,638.9,684.5,741.5,808.3,856.6,937.5,1016,1068,1155.3,1271.9,1419.2,1537.8,1671.6,1852.8,2062.4,2328.3,2582.3,2812.9,3169,3335,3577.1,3996,4284.7,4499.6,4811.4,5233.4,5573.6,5867.6,6065.2,6404.4,6702.6,7147.3,7546.7,8015,8566,9118.1,9663.7,10348.6,10695,11009.1,11471.7,12236.1,13089.3,14021.8,14434.5,14530.3,14259,14932.1,15599.4,16436.8,16941.8,17813.9,18475.6,18837.3,19674.4,20669.9,21420.4
"Compensation of employees, paid",122.5,132.3,144.2,144.3,158.2,185.7,201.1,215.3,214.2,230.6,249.4,262.7,264.7,285.9,301.4,310.6,332.3,350.5,376,405.4,449.2,481.8,530.7,584.4,623.3,665,731.3,812.7,887.7,947.3,1048.4,1165.9,1316.9,1477.3,1622.3,1792.7,1893.2,2012.7,2216.1,2387.5,2543.8,2723.8,2948.9,3140.9,3342.7,3453.3,3671.2,3820.6,4010.2,4202.2,4421.1,4713.2,5075.7,5409.9,5854.6,6046.3,6143.4,6362.3,6729.3,7077.7,7491.3,7889.4,8068.7,7767.2,7933,8234,8575.4,8843.6,9259.7,9709.5,9974.8,10433.1,10960.6,11444.5
    Wages and salaries,112,123,135.5,134.7,147.2,171.6,185.6,199,197.3,212.2,229.1,240,241.4,259.9,273,280.7,299.5,314.9,337.8,363.8,400.3,429,472,518.3,551.5,584.5,638.8,708.8,772.3,814.9,899.8,994.2,1120.7,1253.4,1373.5,1511.5,1587.7,1677.7,1845.1,1982.8,2104.1,2257.6,2440.6,2584.3,2743.5,2817.2,2968.5,3082.7,3240.6,3422.1,3620.6,3881.2,4186.2,4465.2,4832.4,4961.6,5004.1,5147,5430.8,5703,6068.3,6407.3,6545.9,6257.3,6380.1,6634,6936.1,7122.6,7485.8,7869.6,8100.1,8482,8904.7,9321.4
            To persons,---,---,135.4,134.6,147.1,171.5,185.5,198.9,197.1,212,228.9,239.8,241.2,259.7,272.7,280.4,299.2,314.7,337.6,363.6,400.1,428.8,471.7,518.1,551.3,584.3,638.5,708.5,772,814.5,899.4,993.8,1120.2,1252.9,1373,1510.9,1587,1676.9,1844.3,1981.9,2101.4,2255.3,2438.8,2582,2740,2813.2,2963.7,3077.5,3234.6,3415.8,3614.3,3874.6,4179.2,4453.8,4821.5,4949.9,4991.7,5134,5416.9,5687.1,6051.9,6391.6,6528.9,6242.9,6366.1,6619.8,6921.2,7106.6,7468.7,7852.9,8082.8,8465.1,8887.6,9302.6
            To the rest of the world,---,---,0,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,2.7,2.4,1.9,2.3,3.5,4,4.8,5.1,6,6.3,6.3,6.7,7,11.4,11,11.7,12.4,12.9,14,15.9,16.4,15.7,17.1,14.4,14,14.2,14.9,16,17.1,16.7,17.3,16.9,17.1,18.8
    Supplements to wages and salaries,10.5,9.3,8.8,9.6,11,14.1,15.5,16.3,16.9,18.4,20.2,22.6,23.4,26,28.4,29.9,32.8,35.6,38.2,41.7,48.9,52.8,58.8,66.1,71.8,80.4,92.5,103.9,115.4,132.4,148.6,171.7,196.2,223.9,248.8,281.2,305.5,335,371,404.8,439.7,466.1,508.2,556.6,599.2,636,702.7,737.9,769.6,780.1,800.5,832,889.5,944.8,1022.2,1084.7,1139.3,1215.3,1298.5,1374.7,1422.9,1482.1,1522.7,1509.9,1552.9,1600,1639.2,1721,1773.9,1839.9,1874.7,1951.1,2055.9,2123.1
Taxes on production and imports,16.8,18.1,19.7,20.9,23,24.7,27.1,29.1,28.9,31.5,34.2,36.6,37.7,41.1,44.5,47,50.4,53.4,57.3,60.7,63.2,67.9,76.4,83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,760,805.6,868.1,942.4,997,1036.8,1049.7,1026.8,1063.1,1103.7,1136.1,1188.7,1240.8,1275.2,1311.8,1364,1444.8,1491.4
Less: Subsidies1,1.4,0.4,0.5,0.5,0.8,1,0.8,0.5,0.3,0.2,0.7,1.1,1.4,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.5,54.6,52.6,58.3,55.8,60,58,59.7,58.1,57.2,61.7,59.9,63.3,73.9
Net operating surplus,---,---,---,---,---,---,---,---,---,---,---,---,---,130.1,130.9,137,149.4,159.3,171.6,190.4,204.5,207.2,221.2,227.4,221.2,245.6,278.3,315.9,321.6,355,402.9,454.1,522.3,559.5,571.6,664.9,678.9,759.8,912.8,970.3,972,1040,1155.1,1223,1238.4,1249.9,1319.6,1412.1,1568.7,1699.1,1873.1,2035.6,2129.5,2226.4,2320.1,2380.1,2489.2,2633.8,2863.2,3159.1,3460.9,3310,3105.6,3151.9,3600.9,3847.2,4207.4,4288,4556.5,4636.7,4625.8,4824.4,5062.8,5137.4
    Private enterprises,62.6,67.6,80,73.8,84.9,96.4,96.7,98.1,98.9,112.6,114.4,117.3,117,129.6,130.5,136.7,149,158.5,170.7,189.6,204.2,206.9,220.7,227.2,222.2,247.1,279.2,317.8,324,359,405.3,457.1,524.6,562.2,576,669.6,682.3,761.7,913.7,968.4,969.4,1037.2,1149.6,1215.8,1234.7,1241.7,1309.2,1400.6,1556.1,1682.6,1855.4,2017.5,2112.6,2209.6,2308.6,2374.5,2481.6,2628.6,2863.2,3163.6,3467.9,3324.2,3123.8,3167.9,3621,3866.6,4222.8,4303.9,4567.4,4642,4630.1,4829.6,5068.7,5145
"        Net interest and miscellaneous payments, domestic industries",1.8,2.3,2.4,2.7,3,3.4,3.9,4.4,5.2,5.7,6.4,7.6,9,9.2,10.1,11.7,13.4,14.4,16.5,18.6,21.3,24.3,26.5,33.2,40.2,44.4,49,58,73.6,85.3,87.1,101.9,116,139.6,183.4,231.4,270.7,284.6,330.3,350.7,373.8,382.9,411.3,467.7,472.5,433.9,404.7,395.5,398.3,418.3,428.9,474.3,537.5,553.8,645.2,651.9,565.1,526.9,475.8,598.9,728.5,851.9,896.3,737.4,647.2,629.8,668.1,624.6,669.3,750.5,754.2,830.8,836.4,797.2
        Business current transfer payments (net),0.7,0.7,0.7,0.7,0.8,1.2,1.2,1.2,0.9,1.3,1.7,1.8,1.7,1.7,1.7,1.9,2.1,2.5,3,3.5,3.4,3.6,4.2,4.8,4.4,4.2,4.8,5.7,6.8,9,9.1,8.1,10.4,12.8,14,16.9,19.3,21.7,29.2,34.1,36,33.3,32.8,38.3,39.2,38.9,39.7,39.4,40.7,45,52.6,50.1,64.1,67.7,85.2,99.2,80.8,76,82.2,91.7,80.9,98.5,114.3,126.6,127.9,131.7,97.3,106.9,130.4,154.2,164.6,150.7,156.6,158
        Proprietors' income with inventory valuation and capital consumption adjustments,35.7,34.6,39.3,34.7,37.5,42.6,43,42,42.3,44.3,45.8,47.8,50.2,50.3,50.6,53.2,55.2,56.4,59.1,63.7,67.9,69.5,73.8,77,77.8,83.9,95.1,112.5,112.2,118.2,131,144.5,166,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.5,341.1,353.2,354.2,400.2,428,456.6,481.2,543.8,584,640.2,696.4,753.9,831,869.8,896.9,962,978,1049.6,994,960.9,938.5,1108.7,1229.3,1347.3,1403.6,1447.7,1423,1424.8,1509,1585.9,1657.7
        Rental income of persons with capital consumption adjustment,6.9,6.9,7.5,7.8,8.8,9.7,10.8,12,13.1,13.4,13.7,14.1,14.8,15.6,16.5,17.2,18,18.7,18.8,19.3,19.9,20.3,20.1,20.3,20.7,21.8,22.7,23.1,23.2,22.3,20.3,15.9,16.5,16.1,19,23.8,23.8,24.4,24.7,26.2,18.3,16.6,22.5,21.5,28.2,38.6,60.6,90.1,113.7,124.9,142.5,147.1,165.2,178.5,183.5,202.4,211.1,231.5,248.9,232,202.3,184.4,256.7,327.3,394.2,478.6,518,557,604.6,649,682.7,721.9,759.3,787.1
"        Corporate profits with inventory valuation and capital consumption adjustments, domestic industries",17.6,23.2,30.1,27.9,34.8,39.5,37.8,38.5,37.5,47.8,46.8,46,41.3,52.8,51.5,52.6,60.3,66.4,73.2,84.6,91.6,89.1,96.1,91.8,79.1,92.8,107.7,118.5,108.2,124.2,157.8,186.7,215.7,214.4,188.1,217.8,197.3,244.7,301.3,316.4,284.9,318,357.5,347.2,341.6,376.1,404.1,447.6,546.8,613.3,687.5,762.2,705.7,713.2,640.9,589.9,754.9,897.3,1094.2,1262.9,1406.5,1195.4,895.7,1038,1343,1397.2,1592.1,1611.9,1715.3,1665.3,1603.8,1617.3,1730.4,1745.1
            Taxes on corporate income,9.1,11.2,12.3,10,17.7,22.3,19.1,19.9,17.3,21.8,21.6,20.9,18.4,22.8,21.9,22.2,23.3,25.5,26.6,29.8,32.2,31,37.2,37,31.3,34.8,39.1,45.6,47.2,46.3,59.4,68.5,77.9,80.7,75.5,70.3,51.3,66.4,81.5,81.6,91.9,112.7,124.3,124.4,121.8,117.8,131.9,155,172.7,194.4,211.4,224.8,221.8,227.4,233.4,170.1,160.7,213.8,278.5,379.7,430.1,391.8,255.9,203.9,272.3,280.8,334.6,362.6,407.1,396.3,376.2,311.3,282.9,298.7
            Profits after tax with inventory valuation and capital consumption adjustments,8.4,12,17.9,17.9,17.1,17.2,18.7,18.6,20.2,26,25.2,25.2,22.9,30,29.7,30.4,37,40.9,46.7,54.8,59.4,58.1,58.9,54.9,47.9,58,68.6,72.9,61,78,98.4,118.2,137.8,133.6,112.6,147.5,146,178.3,219.8,234.8,193,205.3,233.2,222.7,219.8,258.3,272.2,292.6,374.1,418.8,476.1,537.4,483.9,485.8,407.4,419.8,594.3,683.6,815.7,883.2,976.4,803.6,639.7,834.1,1070.7,1116.5,1257.5,1249.2,1308.3,1269,1227.6,1306,1447.5,1446.4
                Net dividends,5.1,5.7,6.4,6.6,8.1,7.7,7.8,8.1,8.1,9.2,9.9,10.4,10.4,11.6,12.3,12.2,13.2,14.4,16.6,18.2,19.5,20.2,22.6,23.4,23.9,23.7,25.2,27.4,29,31.8,35.9,39.6,46.6,50.8,59,72.3,76.5,85.5,94.6,103.5,106.1,113.3,115.4,148,167.7,177,178.3,200.7,218.3,249.6,283.2,312.9,341.4,331.8,380.8,357,376.8,423.9,519.8,341.1,677.2,713.1,659.8,503.9,521.8,624.2,768.8,870.6,934.4,1002.1,1003.7,1053.7,474.1,895.8
