Fixed Asset,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Private nonresidential fixed assets,221,265.7,291.6,296.7,335.9,366.2,386.3,403.7,414.9,457,505.5,540.6,551.3,573.9,586.9,604.3,626.8,650.6,689.3,738.8,804.3,871.2,957.9,1055.8,1161.7,1275.1,1385.7,1560.5,1893.8,2083.8,2280.1,2532.5,2870.3,3313.9,3800.4,4300,4588.9,4744.7,5041,5332.4,5603.6,5919.1,6311.3,6699.8,7071.3,7242.6,7487,7837.6,8272.9,8723.3,9152.3,9674.8,10226.6,10849.4,11608.8,12189.4,12615.9,13036.2,14150.5,15429.8,16707.3,17653.8,18787.1,18237.6,18684.5,19551.3,20216.9,21073.3,22037.1,22487,23118.3,24000.9,25220,26209.2
          Equipment,53.3,65.5,80.3,84.6,98.8,109.1,114.9,124.4,128.2,141.2,158.6,172.9,178,186.6,192.7,196.1,203.7,212.3,224.9,242.5,270,296.2,326.5,360.1,394.8,422.5,455.1,507.1,625.5,716.2,792.5,891.6,1018,1181.9,1369.9,1528.5,1619.9,1670.5,1758.8,1858,1964.7,2055.3,2178.1,2300.6,2423.7,2482.2,2544.3,2642.4,2784.9,2959.2,3104.1,3235.2,3384.7,3578.7,3805.2,3913.4,3959.3,4000.4,4225.9,4423,4729.2,4952.1,5200.2,5120.2,5224,5459.7,5699.6,5897.2,6138.8,6307,6461.5,6678.7,6992,7227.5
          Structures,158.6,189.6,199.9,200.4,224.2,243.6,256.8,263.1,269.1,296.3,324.9,343.3,346.9,358.4,363,374.6,387.2,399.5,422.5,450.6,483.7,518.7,568.5,625.2,689.4,770.1,841.9,955,1156.4,1246.2,1354.7,1495.1,1689.2,1945.2,2216.6,2526.7,2694.9,2770.2,2943.8,3101.8,3232.5,3415.1,3641.8,3858.7,4055.4,4116.7,4251,4458.5,4696.8,4913.2,5136.2,5445.7,5759.2,6063.8,6468.4,6880.7,7212.5,7514.3,8334,9311.4,10180.9,10772.1,11557.2,11029.7,11286.3,11799.6,12126.7,12641.7,13245,13442.6,13765.4,14248.1,14950.8,15497.2
          Intellectual property products,9.1,10.6,11.3,11.7,12.8,13.6,14.6,16.2,17.7,19.6,22.1,24.4,26.4,29,31.1,33.7,35.9,38.9,41.9,45.8,50.5,56.3,62.8,70.5,77.5,82.5,88.7,98.4,111.9,121.5,132.9,145.8,163.2,186.8,213.8,244.9,274.1,304.1,338.5,372.6,406.4,448.7,491.5,540.5,592.3,643.6,691.7,736.6,791.2,851,912.1,993.8,1082.7,1206.8,1335.1,1395.2,1444,1521.6,1590.6,1695.4,1797.2,1929.6,2029.7,2087.7,2174.2,2292,2390.6,2534.5,2653.3,2737.3,2891.4,3074,3277.2,3484.6
By selected industry group:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Farms,16.1,19.9,22.6,23.6,27.4,29.9,31.3,31.8,31.7,33.9,35.3,36.4,36.1,36.9,37.3,38,39.2,40.8,43,45.7,49.1,52.3,56.1,60.2,65.1,70.7,75.5,84.7,103,113.8,125.6,140.7,159.1,185.9,208,227.5,235.1,235.7,237.5,235.1,235.5,234.9,238.5,243.5,248.4,248.1,247.6,252.7,261.6,268.9,276,286.3,297,302.9,311,319.9,328.3,340.2,366.9,394.4,416.3,430.3,446.5,433.7,438.2,455.8,482.5,521.7,564.6,579.1,592.7,604.2,624.9,635.8
    Equipment,4.8,6.2,8.3,9.5,11.3,12.5,13.3,13.9,13.8,14.6,14.8,15.5,16,16.5,16.7,16.7,17.1,17.8,18.6,20.1,21.9,23.7,25.1,26.8,28.8,30.6,32.4,37.2,47.2,54.1,60.6,67.8,76.2,89.6,99.4,109.8,111.9,109.3,106.6,102.2,99.7,96.1,96.6,98.6,101.7,102.7,101.3,102.5,105.7,110.6,114.3,120.2,125.8,126.1,126.8,129,133,138.9,149.4,157.4,163.8,171.2,184.4,189.6,196.1,208.8,226.7,248.5,275.2,280.5,277.7,276,281.7,284.1
    Structures,11.3,13.7,14.3,14.1,16.1,17.4,18,17.8,17.9,19.3,20.5,21,20.1,20.4,20.6,21.2,22.1,23,24.4,25.6,27.1,28.6,31,33.4,36.2,40.1,43.1,47.5,55.8,59.8,65,72.9,82.9,96.3,108.6,117.8,123.2,126.5,130.9,132.9,135.8,138.8,141.9,144.8,146.6,145.3,146.1,149.9,155.6,158,161.4,165.8,170.9,176.5,184,190.8,195.1,201.2,217.4,237,252.4,259.1,262,244,242.1,247,255.7,273.1,289.3,298.5,314.9,328.1,343.2,351.6
    Intellectual property products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
  Manufacturing,40.8,49.9,55.4,54.8,62.7,69.1,73.3,77.4,80.2,88.8,101.3,110.3,111.6,115.4,118.8,122.2,127.3,132.5,141.3,153.2,171.8,188.7,209.7,231.8,255.2,277.4,298.6,331.5,401.5,448.2,490.9,547.2,617.8,712.6,820.7,911.2,971.2,1002.5,1052.7,1116,1174.7,1233,1292.3,1360.6,1437,1482.6,1535.4,1586.6,1671.4,1768,1863.5,1963.1,2071.5,2168.8,2272.3,2339,2369.4,2407,2515,2649,2776.9,2945.6,3133,3088.4,3137,3263.3,3355.4,3491.4,3590.2,3643.4,3723.6,3873.2,4058.2,4212.9
    Equipment,17.7,21.8,26.2,26.6,31.1,34,35.8,38.9,40.5,44.6,51.4,56.3,57.1,59.1,60.4,60.7,62.6,64.4,68.3,74.2,83.9,92.3,101.6,110.6,120.3,126.9,133.9,146.2,182.8,213.9,237.9,268.7,304.3,350.7,407.5,450.6,474,478,494.7,525.2,552.5,576.6,601.6,632.6,676.1,698.7,718.9,738.5,773.3,821.5,858.8,885.7,919.6,944.9,972.6,985,989,993.5,1021.4,1051,1093,1144.4,1208,1196.2,1207.7,1253.8,1291.3,1315.3,1340.5,1353.8,1369.9,1403.4,1449,1482.7
    Structures,20.5,24.8,25.6,24.5,27.4,30.4,32,32.2,32.5,35.8,39.9,42.7,41.7,42.1,42.7,44.5,46.3,48.2,51.5,55.7,62,67.7,75.8,84.6,94.2,106.5,116.7,130.1,154.6,164.4,176.6,195.2,220.9,255.9,291.2,321.1,343.1,356,374.3,390.9,409,425,442,462.3,478.3,482.6,496.7,516.1,542.9,564.3,591.8,624.2,658.3,687.3,719,753.4,770.8,773.5,827.7,883.8,928.1,976.5,1049.6,989.5,984.3,1012.9,1028.7,1073,1098.7,1118.8,1122.9,1165.2,1230.9,1278.2
    Intellectual property products,2.7,3.2,3.6,3.7,4.3,4.7,5.4,6.4,7.2,8.3,10,11.4,12.8,14.2,15.7,17,18.4,19.9,21.5,23.4,25.9,28.7,32.4,36.7,40.7,44,48,55.2,64.2,69.9,76.3,83.3,92.7,105.9,122,139.6,154.2,168.5,183.7,199.9,213.2,231.3,248.6,265.8,282.6,301.3,319.8,332.1,355.3,382.2,412.9,453.1,493.7,536.6,580.6,600.7,609.6,640,665.9,714.2,755.8,824.7,875.3,902.6,945,996.7,1035.3,1103.1,1151,1170.8,1230.9,1304.6,1378.4,1452
  Nonfarm nonmanufacturing,164.1,196,213.6,218.3,245.8,267.3,281.7,294.6,303,334.3,368.9,393.8,403.6,421.7,430.8,444.2,460.3,477.3,505,539.9,583.4,630.3,692.1,763.8,841.4,927,1011.7,1144.3,1389.3,1521.8,1663.7,1844.7,2093.4,2415.5,2771.7,3161.3,3382.6,3506.5,3750.8,3981.3,4193.5,4451.2,4780.5,5095.7,5385.9,5511.8,5704,5998.3,6339.9,6686.5,7012.9,7425.4,7858,8377.7,9025.5,9530.4,9918.2,10289,11268.6,12386.4,13514,14277.9,15207.7,14715.5,15109.3,15832.2,16379.1,17060.2,17882.3,18264.4,18802,19523.5,20536.8,21360.5
    Equipment,30.8,37.6,45.9,48.5,56.5,62.6,65.8,71.6,73.9,82,92.3,101.2,104.9,110.9,115.6,118.7,124,130,138,148.3,164.2,180.2,199.8,222.8,245.6,264.9,288.8,323.7,395.6,448.2,493.9,555.1,637.5,741.6,863,968.1,1034,1083.2,1157.5,1230.5,1312.6,1382.6,1479.8,1569.4,1645.8,1680.8,1724.2,1801.4,1905.9,2027.1,2131,2229.3,2339.3,2507.8,2705.8,2799.4,2837.3,2868,3055.1,3214.7,3472.4,3636.6,3807.8,3734.3,3820.3,3997.2,4181.6,4333.3,4523.2,4672.7,4813.9,4999.4,5261.3,5460.6
    Structures,126.8,151.1,160,161.8,180.8,195.8,206.7,213.1,218.7,241.1,264.5,279.6,285.1,296,299.7,308.9,318.8,328.2,346.6,369.2,394.6,422.4,461.8,507.2,558.9,623.5,682.1,777.4,946,1022.1,1113.1,1227,1385.5,1593,1816.8,2087.8,2228.7,2287.7,2438.6,2578,2687.7,2851.2,3057.8,3251.6,3430.4,3488.8,3608.2,3792.6,3998.4,4190.9,4383,4655.7,4930,5200,5565.4,5936.6,6246.6,6539.5,7288.9,8190.6,9000.3,9536.4,10245.6,9796.2,10059.8,10539.7,10842.3,11295.6,11857,12025.3,12327.7,12754.7,13376.8,13867.3
    Intellectual property products,6.4,7.3,7.7,8,8.6,8.9,9.2,9.9,10.5,11.2,12.1,13,13.6,14.8,15.5,16.7,17.5,19,20.4,22.5,24.6,27.6,30.5,33.9,36.9,38.5,40.7,43.3,47.8,51.5,56.6,62.6,70.5,80.9,91.8,105.3,119.9,135.5,154.7,172.8,193.2,217.4,242.9,274.7,309.6,342.2,371.7,404.3,435.6,468.5,498.9,540.3,588.6,669.9,754.2,794.4,834.2,881.5,924.6,981.2,1041.3,1104.8,1154.3,1185,1229.2,1295.2,1355.3,1431.3,1502.2,1566.4,1660.4,1769.3,1898.7,2032.6
By legal form of organization:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
