Year,Gross domestic income,"Compensation of employees, paid",Consumption of fixed capital,Historic Cost Private nonresidential fixed assets,Current Cost Private nonresidential fixed assets
1946,226.3,122.5,25.7,131.6,221
1947,246.8,132.3,29.1,146.9,265.7
1948,274.7,144.2,31.3,164.1,291.6
1949,270.7,144.3,32.3,178.1,296.7
1950,298.6,158.2,33.4,193.7,335.9
1951,343.5,185.7,37.7,212.1,366.2
1952,364.7,201.1,40.6,229.8,386.3
1953,385.4,215.3,43.5,249.8,403.7
1954,387.6,214.2,46,267.6,414.9
1955,423.3,230.6,48.9,288.4,457
1956,451.4,249.4,54.1,313.9,505.5
1957,474.4,262.7,58.9,340.6,540.6
1958,480.6,264.7,62.5,360.9,551.3
1959,521.5,285.9,65.4,383.7,573.9
1960,543.7,301.4,67.9,408.3,586.9
1961,563.1,310.6,70.6,431.4,604.3
1962,603.9,332.3,74.1,457.4,626.8
1963,638.9,350.5,78,484.6,650.6
1964,684.5,376,82.4,516.7,689.3
1965,741.5,405.4,88,558.5,738.8
1966,808.3,449.2,95.3,607.6,804.3
1967,856.6,481.8,103.6,654.4,871.2
1968,937.5,530.7,113.4,705.1,957.9
1969,1016,584.4,124.9,763.1,1055.8
1970,1068,623.3,136.8,819.9,1161.7
1971,1155.3,665,148.9,877.2,1275.1
1972,1271.9,731.3,161,944.5,1385.7
1973,1419.2,812.7,178.7,1030.3,1560.5
1974,1537.8,887.7,206.9,1126.3,1893.8
1975,1671.6,947.3,238.5,1219.3,2083.8
1976,1852.8,1048.4,260.2,1324.3,2280.1
1977,2062.4,1165.9,289.8,1455.5,2532.5
1978,2328.3,1316.9,327.2,1625.5,2870.3
1979,2582.3,1477.3,373.9,1835.4,3313.9
1980,2812.9,1622.3,428.4,2056.1,3800.4
1981,3169,1792.7,487.2,2318.7,4300
1982,3335,1893.2,537,2564.3,4588.9
1983,3577.1,2012.7,562.6,2783.3,4744.7
1984,3996,2216.1,598.4,3059.7,5041
1985,4284.7,2387.5,640.1,3349.6,5332.4
1986,4499.6,2543.8,685.3,3605,5603.6
1987,4811.4,2723.8,730.4,3845.4,5919.1
1988,5233.4,2948.9,784.5,4105.3,6311.3
1989,5573.6,3140.9,838.3,4385.2,6699.8
1990,5867.6,3342.7,888.5,4664.9,7071.3
1991,6065.2,3453.3,932.4,4900.5,7242.6
1992,6404.4,3671.2,960.2,5123.6,7487
1993,6702.6,3820.6,1003.5,5384.9,7837.6
1994,7147.3,4010.2,1055.6,5677.1,8272.9
1995,7546.7,4202.2,1122.4,6030.3,8723.3
1996,8015,4421.1,1175.3,6422.1,9152.3
1997,8566,4713.2,1239.3,6861.3,9674.8
1998,9118.1,5075.7,1309.7,7341.3,10226.6
1999,9663.7,5409.9,1398.9,7859,10849.4
2000,10348.6,5854.6,1511.2,8431.7,11608.8
2001,10695,6046.3,1599.5,8889.3,12189.4
2002,11009.1,6143.4,1658,9210.7,12615.9
2003,11471.7,6362.3,1719.1,9523.4,13036.2
2004,12236.1,6729.3,1821.8,9887.6,14150.5
2005,13089.3,7077.7,1971,10351.7,15429.8
2006,14021.8,7491.3,2124.1,10947.7,16707.3
2007,14434.5,7889.4,2252.8,11628.9,17653.8
2008,14530.3,8068.7,2358.8,12290,18787.1
2009,14259,7767.2,2371.5,12609.7,18237.6
2010,14932.1,7933,2390.9,12968.2,18684.5
2011,15599.4,8234,2474.5,13454.8,19551.3
2012,16436.8,8575.4,2576,14066.1,20216.9
2013,16941.8,8843.6,2681.2,14698.7,21073.3
2014,17813.9,9259.7,2815,15435.2,22037.1
2015,18475.6,9709.5,2911.4,16141.2,22487
2016,18837.3,9974.8,2986.6,16760.8,23118.3
2017,19674.4,10433.1,3112.9,17391.6,24000.9
2018,20669.9,10960.6,3265,18162.8,25220
2019,21420.4,11444.5,3420.9,18960.8,26209.2
